,restaurant_name,city,cuisines,swiggy_rating,swiggy_total_reviews,zomato_rating,zomato_total_reviews,avg_cost_per_person_inr,price_category,swiggy_delivery_fee_inr,zomato_delivery_fee_inr,swiggy_avg_delivery_time_minutes,zomato_avg_delivery_time_minutes,swiggy_estimated_monthly_orders,zomato_estimated_monthly_orders,swiggy_estimated_monthly_revenue_inr,zomato_estimated_monthly_revenue_inr,repeat_customer_pct,platform_performance_better
49,The Vegan Junction,Mumbai,Vegan,4.8,1761,4.7,1728,406,Mid-Range,37,43,28,21,253,213,102718,86478,60,Swiggy Better
50,Golden Hub,Bangalore,Vietnamese,4,1854,4,2074,332,Mid-Range,62,56,27,31,255,235,84660,78020,41,Swiggy Better
51,Golden Bowl,Mumbai,Cafe,4.1,1191,4,1548,244,Budget,50,39,30,33,222,235,54168,57340,52,Swiggy Better
52,Roots House,Kolkata,Lebanese,4.6,856,4.7,1274,168,Budget,30,34,28,25,293,446,49224,74928,62,Zomato Better
53,Barrel South Tadka,Hyderabad,South Indian,4.6,1649,4.7,2103,335,Mid-Range,56,57,29,33,381,330,127635,110550,66,Swiggy Better
54,Lotus Kitchen,Chennai,Pan-Asian; Biryani,4.4,1344,3.8,779,230,Budget,35,33,24,22,365,255,83950,58650,47,Swiggy Better
55,Sultan Korean Grill,Kolkata,Korean,4.6,1718,4.5,2830,317,Mid-Range,34,33,22,20,286,407,90662,129019,61,Zomato Better
56,The Korean Darbar,Delhi,Korean,4.5,1937,4.5,1789,344,Mid-Range,52,55,32,27,272,252,93568,86688,64,Balanced
57,Roots Grill,Pune,Desserts,4.7,474,4.4,1173,347,Mid-Range,40,32,23,28,220,217,76340,75299,55,Balanced
58,Basil Darbar,Mumbai,Chinese,4.5,1406,4.6,1990,436,Mid-Range,58,49,36,27,286,242,124696,105512,60,Swiggy Better
59,The Biryani Express,Mumbai,Biryani; Street Food,4.2,2007,4.5,2463,298,Budget,39,36,31,30,322,409,95956,121882,55,Zomato Better
60,The Italian Diner,Hyderabad,Italian; Lebanese,4.3,2049,4.2,1349,429,Mid-Range,42,44,26,31,325,179,139425,76791,43,Swiggy Better
61,Nawab Room,Delhi,Mughlai; Multi-Cuisine,4.5,1763,4.4,1475,906,Premium,34,29,16,25,289,181,261834,163986,53,Swiggy Better
62,Spice Bites,Pune,North Indian,4.7,1157,4.7,1203,511,Mid-Range,49,40,24,25,241,251,123151,128261,52,Zomato Better
63,The Mexican Corner,Chennai,Mexican; Pan-Asian,4.8,1086,4.8,534,219,Budget,29,34,29,21,158,202,34602,44238,55,Zomato Better
64,Tandoor Lebanese Diner,Hyderabad,Lebanese; Japanese,3.5,624,3.5,2253,312,Mid-Range,86,73,36,44,194,291,60528,90792,36,Zomato Better
65,Urban House,Pune,Cafe,3.9,682,4,393,574,Mid-Range,19,28,17,21,82,190,47068,109060,41,Zomato Better
66,Bombay Mexican Bhavan,Pune,Mexican,4.2,666,4.2,1339,304,Mid-Range,59,64,35,36,174,155,52896,47120,55,Swiggy Better
67,Saffron Express,Bangalore,Bakery; Pan-Asian,4.7,2283,4.6,1123,729,Premium,71,63,36,40,435,233,317115,169857,47,Swiggy Better
68,Silk Diner,Mumbai,Street Food,4.5,761,4.3,978,303,Mid-Range,50,47,25,27,229,212,69387,64236,64,Swiggy Better
69,Zaffran Corner,Delhi,Continental,3.8,2639,3.5,575,193,Budget,75,67,40,43,327,254,63111,49022,42,Swiggy Better
70,Curry Kitchen Co.,Bangalore,Bakery,4.1,1643,4.4,1017,1222,Premium,39,34,23,26,214,155,261508,189410,52,Swiggy Better
71,The Pan-Asian Bar & Grill,Delhi,Pan-Asian,3.9,2394,4.2,1108,371,Mid-Range,35,38,29,26,374,340,138754,126140,53,Balanced
72,Curry Desserts Junction,Ahmedabad,Desserts,4,942,4.1,608,735,Premium,49,45,27,28,209,158,153615,116130,45,Swiggy Better
73,Coastal Kitchen,Bangalore,Mediterranean; South Indian,4.2,673,4.2,1725,1137,Premium,41,30,26,25,128,196,145536,222852,45,Zomato Better
74,Delhi Point,Mumbai,Japanese,3.5,3062,3.5,823,413,Mid-Range,21,17,16,19,345,237,142485,97881,31,Swiggy Better
75,Saffron Italian Grill,Bangalore,Italian; Fast Food,4.1,741,4.2,548,1579,Luxury,24,30,24,20,177,232,279483,366328,51,Zomato Better
76,Harvest Vegan Deck,Bangalore,Vegan,4.8,2950,4.5,2189,383,Mid-Range,33,29,18,21,413,300,158179,114900,59,Swiggy Better
77,Urban Hub,Hyderabad,Mexican; Pan-Asian,4.3,1507,4,2180,569,Mid-Range,57,57,31,31,196,245,111524,139405,50,Zomato Better
78,The Vegan Corner,Pune,Vegan,4.6,765,4.9,885,243,Budget,42,39,26,24,260,199,63180,48357,59,Swiggy Better
79,Coastal Chinese Corner,Kolkata,Chinese,4.4,1228,4.5,687,200,Budget,51,50,35,36,379,289,75800,57800,57,Swiggy Better
80,Bistro Desserts Junction,Hyderabad,Desserts,4.2,703,4,1552,460,Mid-Range,68,63,31,40,244,240,112240,110400,43,Balanced
81,The Chinese Kitchen Co.,Delhi,Chinese,4.1,2611,4,944,345,Mid-Range,42,41,25,31,293,252,101085,86940,48,Swiggy Better
82,Basil Bar & Grill,Kolkata,Vegan,4.2,571,3.8,676,387,Mid-Range,42,50,27,27,179,229,69273,88623,35,Zomato Better
83,Spice Bhavan,Mumbai,Continental,4.5,4629,4.5,970,462,Mid-Range,27,19,18,18,519,247,239778,114114,53,Swiggy Better
84,Royal Room,Mumbai,South Indian,4.5,2107,4.9,626,789,Premium,32,39,23,26,267,230,210663,181470,65,Swiggy Better
85,Barrel Republic,Mumbai,Pan-Asian,4.2,1041,4.1,467,244,Budget,38,38,22,22,154,111,37576,27084,60,Swiggy Better
86,Heritage Point,Chennai,Mughlai; Fast Food,4.2,1253,4.2,730,203,Budget,48,40,26,28,282,348,57246,70644,55,Zomato Better
87,The Vegan Kitchen,Delhi,Vegan,4.9,2147,5,2915,369,Mid-Range,28,28,21,17,372,345,137268,127305,61,Swiggy Better
88,The Korean Point,Mumbai,Korean,4.1,1172,4.1,1814,2660,Luxury,46,41,28,23,219,206,582540,547960,44,Balanced
89,Delhi Desserts Bar & Grill,Pune,Desserts,4.8,1211,4.9,394,786,Premium,29,34,26,23,200,136,157200,106896,71,Swiggy Better
90,The Vietnamese Spot,Mumbai,Vietnamese,4.4,670,4.5,3867,671,Mid-Range,97,94,51,44,240,519,161040,348249,69,Zomato Better
91,Cinnamon South Deck,Chennai,South Indian; Street Food,4.6,1660,4.5,1323,690,Mid-Range,36,41,27,26,324,343,223560,236670,52,Zomato Better
92,Heritage Fast Bar & Grill,Delhi,Fast Food,4.2,1987,4.6,2240,899,Premium,58,49,32,37,281,476,252619,427924,59,Zomato Better
93,Twist Multi-Cuisine Corner,Delhi,Multi-Cuisine; Fast Food,4.5,1188,4.5,2300,318,Mid-Range,46,52,30,33,356,423,113208,134514,55,Zomato Better
94,The Thai Deck,Bangalore,Thai,4.4,836,4.5,900,455,Mid-Range,37,50,29,29,307,324,139685,147420,58,Zomato Better
95,Basil Corner,Hyderabad,South Indian; Fast Food,4.3,647,4.1,1086,393,Mid-Range,55,45,30,37,300,269,117900,105717,47,Swiggy Better
96,Ember Biryani Table,Delhi,Biryani; Chinese,4.3,749,4.3,1148,572,Mid-Range,52,48,33,30,212,147,121264,84084,51,Swiggy Better
97,Basil Hub,Mumbai,Japanese; Bakery,3.9,2280,4.2,811,264,Budget,45,39,30,28,418,317,110352,83688,54,Swiggy Better
98,The Korean Kitchen,Mumbai,Korean; Vegan,3.8,1286,3.7,1122,1184,Premium,70,67,36,36,185,149,219040,176416,42,Swiggy Better
99,The South Cellar,Lucknow,South Indian,4,618,4.2,1467,292,Budget,43,45,29,33,204,263,59568,76796,51,Zomato Better
100,Copper Lebanese Corner,Ahmedabad,Lebanese,4.2,469,4.5,977,585,Mid-Range,30,26,21,21,201,166,117585,97110,61,Swiggy Better
101,Green Bakery Bhavan,Chennai,Bakery; Multi-Cuisine,4.4,2243,4.5,3464,292,Budget,54,51,29,33,295,453,86140,132276,61,Zomato Better
102,The Italian Darbar,Bangalore,Italian,4.1,454,4.3,1493,131,Budget,30,31,22,25,195,171,25545,22401,59,Swiggy Better
103,Royal Foods,Lucknow,Japanese,4.1,1006,4,1495,188,Budget,39,38,20,23,143,169,26884,31772,44,Zomato Better
104,Copper Corner,Kolkata,Italian; Multi-Cuisine,4.1,3103,4.1,607,300,Mid-Range,35,36,26,27,389,280,116700,84000,50,Swiggy Better
105,The Korean Bhavan,Chennai,Korean; Mughlai,4.6,2091,4.2,1531,548,Mid-Range,46,41,25,24,438,180,240024,98640,57,Swiggy Better
106,Royal Vegan Bhavan,Delhi,Vegan,4.5,1971,4.1,2601,884,Premium,51,44,31,25,263,424,232492,374816,44,Zomato Better
107,The Mexican Deck,Bangalore,Mexican,4,1735,4.1,3370,266,Budget,46,43,34,27,363,382,96558,101612,46,Zomato Better
108,The Bakery Cafe,Mumbai,Bakery,3.7,1683,3.8,1083,461,Mid-Range,35,43,29,30,276,243,127236,112023,43,Swiggy Better
109,The Lebanese Bowl,Ahmedabad,Lebanese,4.7,2513,4.5,2425,331,Mid-Range,34,30,23,24,289,348,95659,115188,59,Zomato Better
110,Nawab Tadka,Delhi,Bakery; Biryani,4.4,2353,4.3,817,1160,Premium,65,62,33,33,376,229,436160,265640,45,Swiggy Better
111,Sunrise Continental Point,Bangalore,Continental; Vietnamese,4.2,2119,4.3,897,750,Premium,50,50,34,30,387,165,290250,123750,58,Swiggy Better
112,The Mediterranean Room,Bangalore,Mediterranean; North Indian,4,2899,4.3,2496,369,Mid-Range,26,34,17,16,364,278,134316,102582,49,Swiggy Better
113,Bombay Street Corner,Pune,Street Food,4.3,666,4.6,1290,231,Budget,29,26,21,21,147,158,33957,36498,50,Zomato Better
114,The Korean Spot,Mumbai,Korean,4.2,637,4,1903,558,Mid-Range,31,39,29,21,255,213,142290,118854,58,Swiggy Better
115,The North Grill (2),Ahmedabad,North Indian; Seafood,4.1,1885,4.2,701,410,Mid-Range,20,22,20,21,256,243,104960,99630,47,Zomato Better
116,Tandoor Kitchen,Chennai,Multi-Cuisine; Korean,4.7,2386,4.5,1827,254,Budget,24,27,23,21,279,356,70866,90424,51,Zomato Better
117,The Multi-Cuisine Point,Chennai,Multi-Cuisine; Desserts,4.8,2123,5,2412,777,Premium,47,45,29,27,312,411,242424,319347,72,Zomato Better
118,The Desserts Express,Delhi,Desserts,4.4,1838,4.5,1460,685,Mid-Range,52,52,29,33,331,253,226735,173305,66,Swiggy Better
119,Sunrise Tadka,Hyderabad,Lebanese; Vietnamese,4.7,1992,4.8,941,151,Budget,40,40,24,29,269,192,40619,28992,69,Swiggy Better
120,Coastal Italian Junction,Pune,Italian,4.2,924,4.5,873,627,Mid-Range,36,47,24,27,161,163,100947,102201,58,Swiggy Better
121,The Vietnamese Deck,Hyderabad,Vietnamese; Cafe,4.4,859,3.9,1297,298,Budget,37,41,23,24,314,197,93572,58706,45,Swiggy Better
122,Sultan Kitchen,Mumbai,Fast Food; Italian,4.3,2521,4.5,1557,497,Mid-Range,32,36,23,24,328,312,163016,155064,52,Zomato Better
123,Urban Pan-Asian Foods,Delhi,Pan-Asian,4.8,1109,4.8,3252,524,Mid-Range,58,58,34,31,294,393,154056,205932,60,Zomato Better
124,Sultan Chinese Republic,Mumbai,Chinese,4.7,2267,4.9,3314,374,Mid-Range,61,55,33,42,276,435,103224,162690,65,Zomato Better
125,The Vegan Spot,Delhi,Vegan,4.5,1625,4.7,1504,556,Mid-Range,38,37,22,26,398,333,221288,185148,68,Swiggy Better
126,The Vietnamese Kitchen,Bangalore,Vietnamese; Mediterranean,3.7,934,3.9,597,486,Mid-Range,29,30,24,21,258,242,125388,117612,38,Swiggy Better
127,Lotus Chinese Kitchen Co.,Mumbai,Chinese; Vegan,3.9,1299,4,1970,279,Budget,36,38,22,22,230,265,64170,73935,39,Balanced
128,Basil Republic,Mumbai,Pan-Asian; Lebanese,4.5,1186,4.7,4095,592,Mid-Range,40,39,24,25,381,510,225552,301920,54,Zomato Better
129,Barrel Room,Pune,North Indian,3.8,500,3.7,450,1641,Luxury,38,40,23,25,145,102,237945,167382,40,Swiggy Better
130,Coastal Mediterranean Cafe,Mumbai,Mediterranean,4.8,2087,4.8,2649,349,Mid-Range,60,50,28,33,548,473,191252,165077,56,Swiggy Better
131,The Lebanese Grill,Jaipur,Lebanese,4.7,1559,4.7,1967,412,Mid-Range,31,31,24,23,257,265,105884,109180,68,Zomato Better
132,The North Point,Pune,North Indian,4.7,1845,4.4,790,404,Mid-Range,46,48,37,31,261,230,105444,92920,60,Swiggy Better
133,Copper Table,Bangalore,Seafood,4.1,1229,4,1805,231,Budget,44,44,26,24,222,265,51282,61215,48,Zomato Better
134,The Korean Deck,Pune,Korean; Biryani,4.6,2211,4.4,361,978,Premium,89,85,43,47,308,172,301224,168216,61,Swiggy Better
135,Barrel Deck,Mumbai,South Indian,4.5,1887,4.5,2175,611,Mid-Range,43,44,25,27,314,285,191854,174135,48,Balanced
136,Roots Bites,Jaipur,Biryani,4,1185,4.1,1094,405,Mid-Range,34,34,19,23,159,343,64395,138915,37,Zomato Better
137,Lotus Corner,Delhi,Desserts,4.4,2657,4.4,2007,353,Mid-Range,74,68,34,38,299,407,105547,143671,57,Zomato Better
138,The Seafood Grill,Kolkata,Seafood; Continental,4.5,786,4.3,686,247,Budget,42,43,29,30,163,188,40261,46436,52,Balanced
139,Basil Spot,Mumbai,South Indian; Fast Food,4.6,2219,4.4,1884,812,Premium,46,51,29,30,251,261,203812,211932,65,Zomato Better
140,Wok Room,Delhi,Bakery,4.7,2121,4.5,1001,819,Premium,25,29,24,12,319,210,261261,171990,56,Swiggy Better
141,Golden Express,Delhi,Cafe,4,640,4.2,2461,508,Mid-Range,65,63,35,36,182,306,92456,155448,55,Zomato Better
142,Spice Fast Grill,Jaipur,Fast Food; Mexican,4,1084,4.1,1278,1022,Premium,40,32,20,25,209,258,213598,263676,52,Zomato Better
143,Golden Multi-Cuisine Foods,Pune,Multi-Cuisine; Desserts,4.7,1255,5,1593,1234,Premium,24,33,18,29,169,263,208546,324542,74,Zomato Better
144,Bistro Bar & Grill,Delhi,Vegan; South Indian,4.2,1657,4.1,2176,475,Mid-Range,63,56,36,30,400,395,190000,187625,48,Balanced
145,Ember Biryani Junction,Bangalore,Biryani,4.8,1779,4.7,2235,536,Mid-Range,36,30,21,22,351,538,188136,288368,61,Zomato Better
146,Nawab Room (2),Bangalore,Mexican,3.8,1513,4,997,412,Mid-Range,36,29,20,25,222,352,91464,145024,34,Zomato Better
147,Twist Italian Foods,Pune,Italian; Desserts,4.3,2112,4.1,929,515,Mid-Range,27,19,19,18,250,192,128750,98880,55,Swiggy Better
148,The Continental Deck,Delhi,Continental,4.1,1362,3.9,1625,448,Mid-Range,29,35,25,24,201,228,90048,102144,50,Zomato Better
149,The Continental Bites,Mumbai,Continental; Cafe,4.9,2472,4.5,1507,615,Mid-Range,35,31,23,22,333,227,204795,139605,63,Swiggy Better
150,Royal Table,Kolkata,Street Food,4.8,821,4.4,1458,1628,Luxury,62,51,31,35,170,205,276760,333740,62,Zomato Better
151,Wok Tadka,Ahmedabad,Seafood; Biryani,4.4,1832,4.3,1199,341,Mid-Range,36,35,25,23,289,208,98549,70928,49,Swiggy Better
152,Delhi Mughlai Kitchen,Mumbai,Mughlai,3.4,1883,3.9,1141,395,Mid-Range,27,37,21,28,284,287,112180,113365,35,Zomato Better
153,The North Kitchen,Pune,North Indian,4.7,724,4.7,690,331,Mid-Range,34,25,23,28,248,168,82088,55608,64,Swiggy Better
154,Coastal Express,Mumbai,Street Food,4.9,1828,4.8,1837,531,Mid-Range,50,42,30,32,283,405,150273,215055,69,Zomato Better
155,Delhi Japanese Bar & Grill,Hyderabad,Japanese,4.3,868,4.1,1731,267,Budget,58,55,33,31,268,364,71556,97188,52,Zomato Better
156,The Lebanese Bhavan,Bangalore,Lebanese; Mediterranean,3.4,745,3.3,657,178,Budget,40,33,29,30,233,296,41474,52688,27,Zomato Better
157,The Mediterranean Grill,Hyderabad,Mediterranean,4.1,2392,3.8,1291,719,Premium,40,39,21,24,273,211,196287,151709,44,Swiggy Better
158,Green House (2),Chennai,Thai; Vegan,4.4,1443,4.6,1306,432,Mid-Range,43,42,28,26,509,348,219888,150336,56,Swiggy Better
159,Terrace Hub,Chennai,Mediterranean,3.7,970,4,588,1068,Premium,42,43,26,27,303,248,323604,264864,44,Swiggy Better
160,The Korean Table,Mumbai,Korean; Pan-Asian,4.8,1006,4.8,3420,813,Premium,46,48,29,34,295,415,239835,337395,52,Zomato Better
161,The Mediterranean Room (2),Jaipur,Mediterranean; Pan-Asian,4.8,1262,4.9,2091,582,Mid-Range,49,56,27,26,359,243,208938,141426,64,Swiggy Better
162,Sultan Bakery Hub,Bangalore,Bakery,3.7,2065,4,2247,861,Premium,24,15,15,20,294,358,253134,308238,53,Zomato Better
163,Ember Korean Republic,Mumbai,Korean; Mexican,4.7,1880,4.7,2094,798,Premium,28,35,22,22,384,266,306432,212268,67,Swiggy Better
164,The Continental Tadka,Pune,Continental; Multi-Cuisine,4.2,2199,4.9,1447,484,Mid-Range,26,24,18,22,247,322,119548,155848,72,Zomato Better
165,Heritage Grill,Delhi,Mediterranean; Pan-Asian,4.9,1807,4.8,3153,332,Mid-Range,45,37,27,25,252,443,83664,147076,63,Zomato Better
166,Wok Desserts Kitchen Co.,Kolkata,Desserts; Street Food,4.5,1325,4.4,1175,305,Mid-Range,30,21,19,17,340,193,103700,58865,60,Swiggy Better
167,The Bakery Express,Kolkata,Bakery,4.5,623,4.2,970,248,Budget,46,47,26,23,242,332,60016,82336,59,Zomato Better
168,Roots Foods,Bangalore,Street Food,3.9,1742,3.9,1851,655,Mid-Range,51,49,21,32,269,268,176195,175540,47,Balanced
169,Royal Thai Bowl,Jaipur,Thai; Multi-Cuisine,4.7,709,4.6,641,524,Mid-Range,38,40,25,30,175,221,91700,115804,64,Zomato Better
170,The Italian Room,Bangalore,Italian; Mexican,3.6,1259,3.4,1905,196,Budget,39,37,24,31,403,230,78988,45080,26,Swiggy Better
171,Nawab Korean Grill,Pune,Korean; Mediterranean,4.4,987,4.9,1394,224,Budget,55,55,33,32,216,257,48384,57568,54,Zomato Better
172,The Chinese Bites,Bangalore,Chinese,4.1,1440,3.9,1400,276,Budget,49,43,27,30,310,344,85560,94944,58,Swiggy Better
173,Silk Chinese Bowl,Jaipur,Chinese,4.7,1873,4.8,1129,444,Mid-Range,25,27,25,24,353,294,156732,130536,59,Swiggy Better
174,Terrace Thai Bhavan,Mumbai,Thai; Cafe,4.8,623,4.8,1595,429,Mid-Range,38,42,35,30,157,430,67353,184470,66,Zomato Better
175,Cinnamon Room,Mumbai,Vegan; Multi-Cuisine,4.5,2923,4.4,689,333,Mid-Range,48,42,28,23,453,247,150849,82251,56,Swiggy Better
176,Bombay Junction,Delhi,Japanese,4.5,2459,4.4,1154,347,Mid-Range,63,64,29,35,317,338,109999,117286,52,Zomato Better
177,Ember Kitchen Co.,Lucknow,Fast Food,4.5,2767,4.6,756,342,Mid-Range,58,63,34,38,363,184,124146,62928,59,Swiggy Better
178,Cinnamon Thai Kitchen,Ahmedabad,Thai,4.3,726,4.2,832,434,Mid-Range,38,40,21,28,213,208,92442,90272,55,Swiggy Better
179,Coastal Italian Kitchen,Chennai,Italian; Vietnamese,5,1611,4.9,1676,702,Premium,85,87,39,47,345,299,242190,209898,72,Swiggy Better
180,Urban Bowl (2),Ahmedabad,Continental,4.5,1109,4.8,447,709,Premium,37,25,24,18,149,217,105641,153853,56,Zomato Better
181,Basil Desserts Eatery,Ahmedabad,Desserts,4.2,1136,4.2,1021,215,Budget,28,31,21,23,163,153,35045,32895,49,Swiggy Better
182,Bamboo Continental Cafe,Pune,Continental,4.2,1149,4.3,620,1701,Luxury,68,71,40,36,230,147,391230,250047,60,Swiggy Better
183,Bistro Junction,Bangalore,Mexican; Seafood,4.3,914,4.5,1633,276,Budget,35,28,29,22,282,212,77832,58512,51,Swiggy Better
184,The Cafe Grill,Chennai,Cafe,4.1,1128,3.9,1139,716,Premium,27,29,18,16,339,226,242724,161816,36,Swiggy Better
